,Start,End
0,2022-10-23 12:42:16.397716,2022-10-23 12:42:32.304009
1,2022-10-23 12:42:32.678135,2022-10-23 12:42:32.911511
2,2022-10-23 12:42:32.978512,2022-10-23 12:42:33.078580
3,2022-10-23 12:42:33.230599,2022-10-23 12:42:33.311198
4,2022-10-23 12:42:33.379364,2022-10-23 12:42:33.533958
5,2022-10-23 12:42:33.579614,2022-10-23 12:42:33.628575
6,2022-10-23 12:42:33.663073,2022-10-23 12:42:33.710651
7,2022-10-23 12:42:33.742189,2022-10-23 12:42:33.806118
8,2022-10-23 12:42:33.880155,2022-10-23 12:42:34.093773
9,2022-10-23 12:42:34.142908,2022-10-23 12:42:34.734357
10,2022-10-23 12:42:35.133681,2022-10-23 12:42:35.198806
11,2022-10-23 12:42:35.230347,2022-10-23 12:42:41.890011
